Date,Close1,Date,Close2
2/10/2020 16:00:00,40.01,2/10/2020 16:00:00,53.72
2/11/2020 16:00:00,41.27,2/11/2020 16:00:00,53.94
2/12/2020 16:00:00,41.25,2/12/2020 16:00:00,48.46
2/13/2020 16:00:00,40.09,2/13/2020 16:00:00,47.03
2/14/2020 16:00:00,39.66,2/14/2020 16:00:00,44.69
2/18/2020 16:00:00,40.18,2/18/2020 16:00:00,45.1
2/19/2020 16:00:00,41.05,2/19/2020 16:00:00,46.24
2/20/2020 16:00:00,40.92,2/20/2020 16:00:00,45.47
2/21/2020 16:00:00,40.72,2/21/2020 16:00:00,44.7
2/24/2020 16:00:00,38.31,2/24/2020 16:00:00,42.52
2/25/2020 16:00:00,35.89,2/25/2020 16:00:00,41.82
2/26/2020 16:00:00,34.45,2/26/2020 16:00:00,39.86
2/27/2020 16:00:00,32.45,2/27/2020 16:00:00,37.78
2/28/2020 16:00:00,33.87,2/28/2020 16:00:00,38.12
3/2/2020 16:00:00,32.85,3/2/2020 16:00:00,36.91
3/3/2020 16:00:00,33.04,3/3/2020 16:00:00,36.97
3/4/2020 16:00:00,34.53,3/4/2020 16:00:00,40.27
3/5/2020 16:00:00,32.21,3/5/2020 16:00:00,37.08
3/6/2020 16:00:00,31.68,3/6/2020 16:00:00,36.02
3/9/2020 16:00:00,28.17,3/9/2020 16:00:00,32.81
3/10/2020 16:00:00,28.97,3/10/2020 16:00:00,32.89
3/11/2020 16:00:00,26.24,3/11/2020 16:00:00,29.01
3/12/2020 16:00:00,22.61,3/12/2020 16:00:00,23.88
3/13/2020 16:00:00,22.6,3/13/2020 16:00:00,24.17
3/16/2020 16:00:00,20.29,3/16/2020 16:00:00,19.12
3/17/2020 16:00:00,18.91,3/17/2020 16:00:00,18.66
3/18/2020 16:00:00,14.82,3/18/2020 16:00:00,16.05
3/19/2020 16:00:00,20.49,3/19/2020 16:00:00,20.7
3/20/2020 16:00:00,21.33,3/20/2020 16:00:00,21.27
3/23/2020 16:00:00,22.4,3/23/2020 16:00:00,22.61
3/24/2020 16:00:00,26.39,3/24/2020 16:00:00,27.06
3/25/2020 16:00:00,26.19,3/25/2020 16:00:00,27.95
3/26/2020 16:00:00,28.12,3/26/2020 16:00:00,29.94
3/27/2020 16:00:00,27.28,3/27/2020 16:00:00,27.6
3/30/2020 16:00:00,27.83,3/30/2020 16:00:00,26.92
3/31/2020 16:00:00,27.92,3/31/2020 16:00:00,26.85
4/1/2020 16:00:00,25.42,4/1/2020 16:00:00,23.5
4/2/2020 16:00:00,23.68,4/2/2020 16:00:00,22.45
4/3/2020 16:00:00,22.82,4/3/2020 16:00:00,22
4/6/2020 16:00:00,25.99,4/6/2020 16:00:00,25.73
4/7/2020 16:00:00,25.74,4/7/2020 16:00:00,27.5
4/8/2020 16:00:00,26.94,4/8/2020 16:00:00,29.64
4/9/2020 16:00:00,27.11,4/9/2020 16:00:00,30.33
4/13/2020 16:00:00,27.99,4/13/2020 16:00:00,30.66
4/14/2020 16:00:00,27.75,4/14/2020 16:00:00,30.5
4/15/2020 16:00:00,27.41,4/15/2020 16:00:00,28.39
4/16/2020 16:00:00,27.03,4/16/2020 16:00:00,27.14
4/17/2020 16:00:00,28,4/17/2020 16:00:00,29.07
4/20/2020 16:00:00,28.19,4/20/2020 16:00:00,30.1
4/21/2020 16:00:00,27.19,4/21/2020 16:00:00,29.25
4/22/2020 16:00:00,28.24,4/22/2020 16:00:00,30.7
4/23/2020 16:00:00,28.33,4/23/2020 16:00:00,30.09
4/24/2020 16:00:00,29.49,4/24/2020 16:00:00,31.96
4/27/2020 16:00:00,30.08,4/27/2020 16:00:00,34.32
4/28/2020 16:00:00,30.12,4/28/2020 16:00:00,32.74
4/29/2020 16:00:00,31.37,4/29/2020 16:00:00,34.06
4/30/2020 16:00:00,30.27,4/30/2020 16:00:00,32.83
5/1/2020 16:00:00,28.39,5/1/2020 16:00:00,29.61
5/4/2020 16:00:00,27.42,5/4/2020 16:00:00,27.03
5/5/2020 16:00:00,28.07,5/5/2020 16:00:00,26.68
5/6/2020 16:00:00,27.82,5/6/2020 16:00:00,26.12
5/7/2020 16:00:00,30.93,5/7/2020 16:00:00,31.78
5/8/2020 16:00:00,32.79,5/8/2020 16:00:00,32.73
5/11/2020 16:00:00,31.64,5/11/2020 16:00:00,31.36
5/12/2020 16:00:00,32.4,5/12/2020 16:00:00,29.53
5/13/2020 16:00:00,33.02,5/13/2020 16:00:00,28.37
5/14/2020 16:00:00,32.79,5/14/2020 16:00:00,27.72
5/15/2020 16:00:00,32.47,5/15/2020 16:00:00,28.15
5/18/2020 16:00:00,33.62,5/18/2020 16:00:00,30.43
5/19/2020 16:00:00,33.4,5/19/2020 16:00:00,30.69
5/20/2020 16:00:00,34.48,5/20/2020 16:00:00,30.82
5/21/2020 16:00:00,34.26,5/21/2020 16:00:00,30.39
5/22/2020 16:00:00,34.83,5/22/2020 16:00:00,31.26
5/26/2020 16:00:00,34.56,5/26/2020 16:00:00,32.47
5/27/2020 16:00:00,34.88,5/27/2020 16:00:00,33.75
5/28/2020 16:00:00,34.15,5/28/2020 16:00:00,31.73
5/29/2020 16:00:00,36.32,5/29/2020 16:00:00,31.26
6/1/2020 16:00:00,35.82,6/1/2020 16:00:00,32.59
6/2/2020 16:00:00,35.81,6/2/2020 16:00:00,31.68
6/3/2020 16:00:00,36.75,6/3/2020 16:00:00,34.44
6/4/2020 16:00:00,36.43,6/4/2020 16:00:00,36.08
6/5/2020 16:00:00,37.21,6/5/2020 16:00:00,38.61
6/8/2020 16:00:00,37.08,6/8/2020 16:00:00,40.98
6/9/2020 16:00:00,36.59,6/9/2020 16:00:00,39.21
6/10/2020 16:00:00,34.83,6/10/2020 16:00:00,38.56
6/11/2020 16:00:00,31.1,6/11/2020 16:00:00,35.32
6/12/2020 16:00:00,32.24,6/12/2020 16:00:00,36.89
6/15/2020 16:00:00,32.67,6/15/2020 16:00:00,36.21
6/16/2020 16:00:00,33.49,6/16/2020 16:00:00,36.71
6/17/2020 16:00:00,33.29,6/17/2020 16:00:00,35.32
6/18/2020 16:00:00,33.4,6/18/2020 16:00:00,35.83
6/19/2020 16:00:00,32.3,6/19/2020 16:00:00,34.82
6/22/2020 16:00:00,32.68,6/22/2020 16:00:00,34.25
6/23/2020 16:00:00,33.05,6/23/2020 16:00:00,35.6
6/24/2020 16:00:00,30.46,6/24/2020 16:00:00,32.8
6/25/2020 16:00:00,30.58,6/25/2020 16:00:00,33.19
6/26/2020 16:00:00,29.61,6/26/2020 16:00:00,32.27
6/29/2020 16:00:00,29.63,6/29/2020 16:00:00,33.06
6/30/2020 16:00:00,31.08,6/30/2020 16:00:00,33.01
7/1/2020 16:00:00,30.43,7/1/2020 16:00:00,32
7/2/2020 16:00:00,30.68,7/2/2020 16:00:00,31.82
7/6/2020 16:00:00,32.52,7/6/2020 16:00:00,33.22
7/7/2020 16:00:00,32.82,7/7/2020 16:00:00,30.94
7/8/2020 16:00:00,33.93,7/8/2020 16:00:00,32.18
7/9/2020 16:00:00,33.15,7/9/2020 16:00:00,29.84
7/10/2020 16:00:00,33.14,7/10/2020 16:00:00,30.7
7/13/2020 16:00:00,31.72,7/13/2020 16:00:00,28.81
7/14/2020 16:00:00,30.93,7/14/2020 16:00:00,27.92
7/15/2020 16:00:00,32.81,7/15/2020 16:00:00,30.78
7/16/2020 16:00:00,32.35,7/16/2020 16:00:00,29.58
7/17/2020 16:00:00,32.55,7/17/2020 16:00:00,29.73
7/20/2020 16:00:00,33.66,7/20/2020 16:00:00,30.57
7/21/2020 16:00:00,32.55,7/21/2020 16:00:00,30.49
7/22/2020 16:00:00,32.66,7/22/2020 16:00:00,30.84
7/23/2020 16:00:00,32.17,7/23/2020 16:00:00,30.86
7/24/2020 16:00:00,31.18,7/24/2020 16:00:00,30.42
7/27/2020 16:00:00,30.99,7/27/2020 16:00:00,29.89
7/28/2020 16:00:00,30.81,7/28/2020 16:00:00,29.49
7/29/2020 16:00:00,31.02,7/29/2020 16:00:00,29.89
7/30/2020 16:00:00,30.24,7/30/2020 16:00:00,29.48
7/31/2020 16:00:00,30.26,7/31/2020 16:00:00,29.23
8/3/2020 16:00:00,31.19,8/3/2020 16:00:00,29.09
8/4/2020 16:00:00,32.68,8/4/2020 16:00:00,30.5
8/5/2020 16:00:00,33.2,8/5/2020 16:00:00,30.89
8/6/2020 16:00:00,34.71,8/6/2020 16:00:00,32.34
8/7/2020 16:00:00,32.9,8/7/2020 16:00:00,30.19
8/10/2020 16:00:00,32.27,8/10/2020 16:00:00,31.05
8/11/2020 16:00:00,31.21,8/11/2020 16:00:00,30.65
8/12/2020 16:00:00,30.84,8/12/2020 16:00:00,30.52
8/13/2020 16:00:00,30.46,8/13/2020 16:00:00,28.88
8/14/2020 16:00:00,29.99,8/14/2020 16:00:00,28.51
8/17/2020 16:00:00,29.48,8/17/2020 16:00:00,27.17
8/18/2020 16:00:00,30.08,8/18/2020 16:00:00,27.94
8/19/2020 16:00:00,29.42,8/19/2020 16:00:00,28.14
8/20/2020 16:00:00,31.41,8/20/2020 16:00:00,29.76
8/21/2020 16:00:00,30.83,8/21/2020 16:00:00,28.93
8/24/2020 16:00:00,31.04,8/24/2020 16:00:00,28.98
8/25/2020 16:00:00,31.19,8/25/2020 16:00:00,29.01
8/26/2020 16:00:00,32.3,8/26/2020 16:00:00,29.52
8/27/2020 16:00:00,32.8,8/27/2020 16:00:00,29.7
8/28/2020 16:00:00,33.8,8/28/2020 16:00:00,30.77
8/31/2020 16:00:00,33.63,8/31/2020 16:00:00,29.67
9/1/2020 16:00:00,34.3,9/1/2020 16:00:00,29.43
9/2/2020 16:00:00,34.37,9/2/2020 16:00:00,28.61
9/3/2020 16:00:00,33.41,9/3/2020 16:00:00,28.56
9/4/2020 16:00:00,33.24,9/4/2020 16:00:00,28.97
9/8/2020 16:00:00,34.32,9/8/2020 16:00:00,30.1
9/9/2020 16:00:00,35.01,9/9/2020 16:00:00,29.87
9/10/2020 16:00:00,35.98,9/10/2020 16:00:00,29.51
9/11/2020 16:00:00,36.98,9/11/2020 16:00:00,30.76
9/14/2020 16:00:00,37.95,9/14/2020 16:00:00,31.97
9/15/2020 16:00:00,37.47,9/15/2020 16:00:00,30.23
9/16/2020 16:00:00,37.66,9/16/2020 16:00:00,30.7
9/17/2020 16:00:00,37.06,9/17/2020 16:00:00,31.24
9/18/2020 16:00:00,37.12,9/18/2020 16:00:00,30.59
9/21/2020 16:00:00,36.49,9/21/2020 16:00:00,28.9
9/22/2020 16:00:00,34.4,9/22/2020 16:00:00,28.31
9/23/2020 16:00:00,33.55,9/23/2020 16:00:00,26.97
9/24/2020 16:00:00,33.35,9/24/2020 16:00:00,26.77
9/25/2020 16:00:00,34.46,9/25/2020 16:00:00,27.53
9/28/2020 16:00:00,35.56,9/28/2020 16:00:00,28.05
9/29/2020 16:00:00,35.43,9/29/2020 16:00:00,27.14
9/30/2020 16:00:00,36.48,9/30/2020 16:00:00,27.55
10/1/2020 16:00:00,37.14,10/1/2020 16:00:00,27.81
10/2/2020 16:00:00,37.72,10/2/2020 16:00:00,27.63
10/5/2020 16:00:00,37.14,10/5/2020 16:00:00,26.69
10/6/2020 16:00:00,36.26,10/6/2020 16:00:00,26.41
10/7/2020 16:00:00,36.78,10/7/2020 16:00:00,26.27
10/8/2020 16:00:00,37.34,10/8/2020 16:00:00,27.21
10/9/2020 16:00:00,37.27,10/9/2020 16:00:00,27.8
10/12/2020 16:00:00,36.26,10/12/2020 16:00:00,27.24
10/13/2020 16:00:00,35.56,10/13/2020 16:00:00,26.33
10/14/2020 16:00:00,35.11,10/14/2020 16:00:00,26.75
10/15/2020 16:00:00,34.26,10/15/2020 16:00:00,25.6
10/16/2020 16:00:00,33.72,10/16/2020 16:00:00,25.53
10/19/2020 16:00:00,34.22,10/19/2020 16:00:00,24.63
10/20/2020 16:00:00,36.31,10/20/2020 16:00:00,25.13
10/21/2020 16:00:00,35.2,10/21/2020 16:00:00,24.66
